,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (5, 19) distance travelled","Robot (5, 19) idle time","Robot (5, 19) waiting time","Robot (16, 15) distance travelled","Robot (16, 15) idle time","Robot (16, 15) waiting time","Robot (4, 16) distance travelled","Robot (4, 16) idle time","Robot (4, 16) waiting time"
83,84,0.012645133772908879,6.9600448825859e-07,30,7.0532407407407405,4.0,200,49,0,60,23,0,73,10,0,67,16,0
84,85,0.012645464144254177,6.288683978317669e-07,31,6.688161375661376,4.0,202,50,0,60,24,0,74,10,0,68,16,0
85,86,0.012645706005089486,5.68778508436347e-07,32,6.708994708994709,4.0,204,51,0,61,24,0,75,10,0,68,17,0
86,87,0.01219736836966589,8.653295152978016e-06,33,6.69047619047619,4.0,206,52,0,62,24,0,75,11,0,69,17,0
87,88,0.01219736836966589,8.653295152978016e-06,33,6.69047619047619,4.0,209,52,0,63,24,0,76,11,0,70,17,0
88,89,0.01219736836966589,8.653295152978016e-06,33,6.69047619047619,4.0,212,52,0,64,24,0,77,11,0,71,17,0
89,90,0.01219736836966589,8.653295152978016e-06,33,6.69047619047619,4.0,215,52,0,65,24,0,78,11,0,72,17,0
90,91,0.01219736836966589,8.653295152978016e-06,33,6.69047619047619,4.0,218,52,0,66,24,0,79,11,0,73,17,0
91,92,0.012179465425584872,7.865866023299638e-06,34,6.584415584415584,4.0,220,53,0,67,24,0,79,12,0,74,17,0
92,93,0.012179592713133616,7.1155714798871345e-06,35,6.6214526214526215,4.0,222,54,0,68,24,0,80,12,0,74,18,0
93,94,0.012179592713133616,7.1155714798871345e-06,35,6.6214526214526215,4.0,225,54,0,69,24,0,81,12,0,75,18,0
94,95,0.012179592713133616,7.1155714798871345e-06,35,6.6214526214526215,4.0,228,54,0,70,24,0,82,12,0,76,18,0
95,96,0.012179592713133616,7.1155714798871345e-06,35,6.6214526214526215,4.0,231,54,0,71,24,0,83,12,0,77,18,0
96,97,0.012179095799440286,6.510150331396635e-06,36,6.533068783068782,4.0,233,55,0,72,24,0,83,13,0,78,18,0
97,98,0.012171921027535898,6.4702940934119115e-06,37,6.6759259259259265,4.0,235,56,0,72,25,0,84,13,0,79,18,0
98,99,0.012171921027535898,6.4702940934119115e-06,37,6.6759259259259265,4.0,238,56,0,73,25,0,85,13,0,80,18,0
99,100,0.012171921027535898,6.4702940934119115e-06,37,6.6759259259259265,4.0,241,56,0,74,25,0,86,13,0,81,18,0
100,101,0.012170396937884704,6.012298320756473e-06,39,6.467348927875244,4.0,242,58,0,74,26,0,87,13,0,81,19,0
101,102,0.012170396937884704,6.012298320756473e-06,39,6.467348927875244,4.0,245,58,0,75,26,0,88,13,0,82,19,0
102,103,0.012170396937884704,6.012298320756473e-06,39,6.467348927875244,4.0,248,58,0,76,26,0,89,13,0,83,19,0
