,Time step,RMSE,Average variance,Number of cells sampled,Average time to complete a task,Maximum visits to a cell,Total distance travelled,Total idle time,Total waiting times,"Robot (8, 10) distance travelled","Robot (8, 10) idle time","Robot (8, 10) waiting time","Robot (5, 3) distance travelled","Robot (5, 3) idle time","Robot (5, 3) waiting time","Robot (18, 10) distance travelled","Robot (18, 10) idle time","Robot (18, 10) waiting time"
38,39,0.014695900406395736,0.018401629543639407,14,5.916666666666667,3.0,100,14,0,34,4,0,34,4,0,32,6,0
39,40,0.014695900406395736,0.018401629543639407,14,5.916666666666667,3.0,103,14,0,35,4,0,35,4,0,33,6,0
40,41,0.014695900406395736,0.018401629543639407,14,5.916666666666667,3.0,106,14,0,36,4,0,36,4,0,34,6,0
41,42,0.014054225004846493,0.017758013615477505,15,6.3999999999999995,3.0,108,15,0,36,5,0,37,4,0,35,6,0
42,43,0.01355775234942455,0.016683701057282382,16,6.2,3.0,110,16,0,37,5,0,37,5,0,36,6,0
43,44,0.01355775234942455,0.016683701057282382,16,6.2,3.0,113,16,0,38,5,0,38,5,0,37,6,0
44,45,0.01355775234942455,0.016683701057282382,16,6.2,4.0,116,16,0,39,5,0,39,5,0,38,6,0
45,46,0.01355775234942455,0.016683701057282382,16,6.2,4.0,119,16,0,40,5,0,40,5,0,39,6,0
46,47,0.01355775234942455,0.016683701057282382,16,6.2,5.0,122,16,0,41,5,0,41,5,0,40,6,0
47,48,0.01355775234942455,0.016683701057282382,16,6.2,5.0,125,16,0,42,5,0,42,5,0,41,6,0
48,49,0.01355775234942455,0.016683701057282382,16,6.2,6.0,128,16,0,43,5,0,43,5,0,42,6,0
49,50,0.01355775234942455,0.016683701057282382,16,6.2,6.0,131,16,0,44,5,0,44,5,0,43,6,0
50,51,0.01355775234942455,0.016683701057282382,16,6.2,7.0,134,16,0,45,5,0,45,5,0,44,6,0
