,trial_num,Run,Average Variance,Average time to complete a task,Maximum visits to a cell,RMSE,Step number,Total cells sampled,Total distance travelled,Total idle time,Total waiting time,width,height,task_allocation,num_robots,results_dir
38,33,20,0.005349018890961692,10.145419103313841,33.0,0.002309289107653088,51,51,610,56,0,20,20,random,3,./results/random_sampling_3robs_20x20/
98,98,20,0.0016736295811414755,9.349089635854341,9.0,0.011960711031526745,50,50,522,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
37,39,20,0.005346947258347437,8.99766081871345,6.0,0.011096886229482192,51,51,487,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
35,38,20,0.02216824424710428,9.209429824561404,9.0,0.008941093193512164,50,50,488,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
34,34,20,0.007635775407534602,9.987938596491228,6.0,0.010611677361096108,50,50,543,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
33,35,20,0.00023275729250636507,9.734262125902992,7.0,0.007335396220625262,50,50,546,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
32,36,20,0.007597963544427786,8.922619047619047,6.0,0.0106844407712381,50,50,448,50,0,20,20,random,3,./results/random_sampling_3robs_20x20/
31,32,20,0.0005368154298697385,11.901315789473685,28.0,0.010587705356016129,50,50,649,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
30,31,20,0.00974771064493389,10.83075335397317,25.0,0.010375007822046816,51,51,592,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
29,30,20,0.0063450761441859625,11.101307189542483,7.0,0.0019218080902591562,50,50,587,52,0,20,20,random,3,./results/random_sampling_3robs_20x20/
28,26,20,0.014896153883647886,10.248611111111112,27.0,0.009690181473604662,51,51,612,54,0,20,20,random,3,./results/random_sampling_3robs_20x20/
27,27,20,0.0016767088791853452,8.543981481481481,6.0,0.011909421773210846,50,50,460,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
26,28,20,0.008612752163012554,10.001484480431849,7.0,0.0105038595210769,51,51,504,51,0,20,20,random,3,./results/random_sampling_3robs_20x20/
36,37,20,0.00166975182543938,9.795789887861499,7.0,0.011865414156043681,51,51,502,53,0,20,20,random,3,./results/random_sampling_3robs_20x20/
99,99,20,0.004786774596149008,23.401881720430108,162.0,0.01121600584663249,50,50,929,55,0,20,20,random,3,./results/random_sampling_3robs_20x20/
